maple_atomic/Rewards Mean,maple_atomic/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std
0.611954451,0.282604268,0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.611954451,0.282604268,0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.611954451,0.282604268,0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.611954451,0.282604268,0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.611954451,0.282604268,0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.611954451,0.282604268,0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.611954451,0.282604268,0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.611954451,0.282604268,0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.611954451,0.282604268,0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.611954451,0.282604268,0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.739218692,0.420883047,0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.739218692,0.420883047,0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.739218692,0.420883047,0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.739218692,0.420883047,0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.739218692,0.420883047,0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.739218692,0.420883047,0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.739218692,0.420883047,0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.739218692,0.420883047,0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.739218692,0.420883047,0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.739218692,0.420883047,0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.572960724,0.362292031,0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.572960724,0.362292031,0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.572960724,0.362292031,0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.572960724,0.362292031,0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.572960724,0.362292031,0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.572960724,0.362292031,0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.572960724,0.362292031,0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.572960724,0.362292031,0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.572960724,0.362292031,0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.572960724,0.362292031,0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.542698768,0.267868997,0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.542698768,0.267868997,0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.542698768,0.267868997,0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.542698768,0.267868997,0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.542698768,0.267868997,0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.542698768,0.267868997,0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.542698768,0.267868997,0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.542698768,0.267868997,0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.542698768,0.267868997,0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.542698768,0.267868997,0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.626826612,0.361512613,0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.626826612,0.361512613,0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.626826612,0.361512613,0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.626826612,0.361512613,0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.626826612,0.361512613,0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.626826612,0.361512613,0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.626826612,0.361512613,0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.626826612,0.361512613,0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.626826612,0.361512613,0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.626826612,0.361512613,0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
