maple_atomic/Rewards Mean,maple_atomic/Rewards Std,maple_ltl_progression_reward_atomic/Rewards Mean,maple_ltl_progression_reward_atomic/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std
0.611954451,0.282604268,0.656311896,0.4070686,0.410032742,0.717515926,0.801254821,0.411254249,0.672576989,0.381426003
0.611954451,0.282604268,0.656311896,0.4070686,0.410032742,0.717515926,0.801254821,0.411254249,0.672576989,0.381426003
0.611954451,0.282604268,0.656311896,0.4070686,0.410032742,0.717515926,0.801254821,0.411254249,0.672576989,0.381426003
0.611954451,0.282604268,0.656311896,0.4070686,0.410032742,0.717515926,0.801254821,0.411254249,0.672576989,0.381426003
0.611954451,0.282604268,0.656311896,0.4070686,0.410032742,0.717515926,0.801254821,0.411254249,0.672576989,0.381426003
0.611954451,0.282604268,0.656311896,0.4070686,0.410032742,0.717515926,0.801254821,0.411254249,0.672576989,0.381426003
0.611954451,0.282604268,0.656311896,0.4070686,0.410032742,0.717515926,0.801254821,0.411254249,0.672576989,0.381426003
0.611954451,0.282604268,0.656311896,0.4070686,0.410032742,0.717515926,0.801254821,0.411254249,0.672576989,0.381426003
0.611954451,0.282604268,0.656311896,0.4070686,0.410032742,0.717515926,0.801254821,0.411254249,0.672576989,0.381426003
0.611954451,0.282604268,0.656311896,0.4070686,0.410032742,0.717515926,0.801254821,0.411254249,0.672576989,0.381426003
0.739218692,0.420883047,0.688992809,0.350107791,0.610693988,0.478350771,0.588513413,0.388787834,0.635131308,0.328921539
0.739218692,0.420883047,0.688992809,0.350107791,0.610693988,0.478350771,0.588513413,0.388787834,0.635131308,0.328921539
0.739218692,0.420883047,0.688992809,0.350107791,0.610693988,0.478350771,0.588513413,0.388787834,0.635131308,0.328921539
0.739218692,0.420883047,0.688992809,0.350107791,0.610693988,0.478350771,0.588513413,0.388787834,0.635131308,0.328921539
0.739218692,0.420883047,0.688992809,0.350107791,0.610693988,0.478350771,0.588513413,0.388787834,0.635131308,0.328921539
0.739218692,0.420883047,0.688992809,0.350107791,0.610693988,0.478350771,0.588513413,0.388787834,0.635131308,0.328921539
0.739218692,0.420883047,0.688992809,0.350107791,0.610693988,0.478350771,0.588513413,0.388787834,0.635131308,0.328921539
0.739218692,0.420883047,0.688992809,0.350107791,0.610693988,0.478350771,0.588513413,0.388787834,0.635131308,0.328921539
0.739218692,0.420883047,0.688992809,0.350107791,0.610693988,0.478350771,0.588513413,0.388787834,0.635131308,0.328921539
0.739218692,0.420883047,0.688992809,0.350107791,0.610693988,0.478350771,0.588513413,0.388787834,0.635131308,0.328921539
0.572960724,0.362292031,0.72114185,0.397063533,0.526639935,0.341344168,0.659065978,0.398952563,0.476087016,0.359723527
0.572960724,0.362292031,0.72114185,0.397063533,0.526639935,0.341344168,0.659065978,0.398952563,0.476087016,0.359723527
0.572960724,0.362292031,0.72114185,0.397063533,0.526639935,0.341344168,0.659065978,0.398952563,0.476087016,0.359723527
0.572960724,0.362292031,0.72114185,0.397063533,0.526639935,0.341344168,0.659065978,0.398952563,0.476087016,0.359723527
0.572960724,0.362292031,0.72114185,0.397063533,0.526639935,0.341344168,0.659065978,0.398952563,0.476087016,0.359723527
0.572960724,0.362292031,0.72114185,0.397063533,0.526639935,0.341344168,0.659065978,0.398952563,0.476087016,0.359723527
0.572960724,0.362292031,0.72114185,0.397063533,0.526639935,0.341344168,0.659065978,0.398952563,0.476087016,0.359723527
0.572960724,0.362292031,0.72114185,0.397063533,0.526639935,0.341344168,0.659065978,0.398952563,0.476087016,0.359723527
0.572960724,0.362292031,0.72114185,0.397063533,0.526639935,0.341344168,0.659065978,0.398952563,0.476087016,0.359723527
0.572960724,0.362292031,0.72114185,0.397063533,0.526639935,0.341344168,0.659065978,0.398952563,0.476087016,0.359723527
0.542698768,0.267868997,0.600979622,0.274027037,0.563171551,0.419672172,0.837515765,1.092079824,0.459105018,0.37703815
0.542698768,0.267868997,0.600979622,0.274027037,0.563171551,0.419672172,0.837515765,1.092079824,0.459105018,0.37703815
0.542698768,0.267868997,0.600979622,0.274027037,0.563171551,0.419672172,0.837515765,1.092079824,0.459105018,0.37703815
0.542698768,0.267868997,0.600979622,0.274027037,0.563171551,0.419672172,0.837515765,1.092079824,0.459105018,0.37703815
0.542698768,0.267868997,0.600979622,0.274027037,0.563171551,0.419672172,0.837515765,1.092079824,0.459105018,0.37703815
0.542698768,0.267868997,0.600979622,0.274027037,0.563171551,0.419672172,0.837515765,1.092079824,0.459105018,0.37703815
0.542698768,0.267868997,0.600979622,0.274027037,0.563171551,0.419672172,0.837515765,1.092079824,0.459105018,0.37703815
0.542698768,0.267868997,0.600979622,0.274027037,0.563171551,0.419672172,0.837515765,1.092079824,0.459105018,0.37703815
0.542698768,0.267868997,0.600979622,0.274027037,0.563171551,0.419672172,0.837515765,1.092079824,0.459105018,0.37703815
