eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std
0.098204986,0.012845601,0.081393426,0.012203619,0.088505224,0.017728016,0.089204685,0.019772669,0.138744252,0.045665875
0.098204986,0.012845601,0.081393426,0.012203619,0.088505224,0.017728016,0.089204685,0.019772669,0.138744252,0.045665875
0.098204986,0.012845601,0.081393426,0.012203619,0.088505224,0.017728016,0.089204685,0.019772669,0.138744252,0.045665875
0.098204986,0.012845601,0.081393426,0.012203619,0.088505224,0.017728016,0.089204685,0.019772669,0.138744252,0.045665875
0.098204986,0.012845601,0.081393426,0.012203619,0.088505224,0.017728016,0.089204685,0.019772669,0.138744252,0.045665875
0.098204986,0.012845601,0.081393426,0.012203619,0.088505224,0.017728016,0.089204685,0.019772669,0.138744252,0.045665875
0.098204986,0.012845601,0.081393426,0.012203619,0.088505224,0.017728016,0.089204685,0.019772669,0.138744252,0.045665875
0.098204986,0.012845601,0.081393426,0.012203619,0.088505224,0.017728016,0.089204685,0.019772669,0.138744252,0.045665875
0.098204986,0.012845601,0.081393426,0.012203619,0.088505224,0.017728016,0.089204685,0.019772669,0.138744252,0.045665875
0.098204986,0.012845601,0.081393426,0.012203619,0.088505224,0.017728016,0.089204685,0.019772669,0.138744252,0.045665875
0.089693172,0.0129145,0.210755539,0.246540643,0.078942504,0.012290778,0.12681981,0.104089563,0.08367806,0.014396001
0.089693172,0.0129145,0.210755539,0.246540643,0.078942504,0.012290778,0.12681981,0.104089563,0.08367806,0.014396001
0.089693172,0.0129145,0.210755539,0.246540643,0.078942504,0.012290778,0.12681981,0.104089563,0.08367806,0.014396001
0.089693172,0.0129145,0.210755539,0.246540643,0.078942504,0.012290778,0.12681981,0.104089563,0.08367806,0.014396001
0.089693172,0.0129145,0.210755539,0.246540643,0.078942504,0.012290778,0.12681981,0.104089563,0.08367806,0.014396001
0.089693172,0.0129145,0.210755539,0.246540643,0.078942504,0.012290778,0.12681981,0.104089563,0.08367806,0.014396001
0.089693172,0.0129145,0.210755539,0.246540643,0.078942504,0.012290778,0.12681981,0.104089563,0.08367806,0.014396001
0.089693172,0.0129145,0.210755539,0.246540643,0.078942504,0.012290778,0.12681981,0.104089563,0.08367806,0.014396001
0.089693172,0.0129145,0.210755539,0.246540643,0.078942504,0.012290778,0.12681981,0.104089563,0.08367806,0.014396001
0.089693172,0.0129145,0.210755539,0.246540643,0.078942504,0.012290778,0.12681981,0.104089563,0.08367806,0.014396001
0.08706596,0.015670964,0.15066759,0.121656388,0.105484942,0.018611125,0.327703822,0.472563339,0.086837795,0.015915902
0.08706596,0.015670964,0.15066759,0.121656388,0.105484942,0.018611125,0.327703822,0.472563339,0.086837795,0.015915902
0.08706596,0.015670964,0.15066759,0.121656388,0.105484942,0.018611125,0.327703822,0.472563339,0.086837795,0.015915902
0.08706596,0.015670964,0.15066759,0.121656388,0.105484942,0.018611125,0.327703822,0.472563339,0.086837795,0.015915902
0.08706596,0.015670964,0.15066759,0.121656388,0.105484942,0.018611125,0.327703822,0.472563339,0.086837795,0.015915902
0.08706596,0.015670964,0.15066759,0.121656388,0.105484942,0.018611125,0.327703822,0.472563339,0.086837795,0.015915902
0.08706596,0.015670964,0.15066759,0.121656388,0.105484942,0.018611125,0.327703822,0.472563339,0.086837795,0.015915902
0.08706596,0.015670964,0.15066759,0.121656388,0.105484942,0.018611125,0.327703822,0.472563339,0.086837795,0.015915902
0.08706596,0.015670964,0.15066759,0.121656388,0.105484942,0.018611125,0.327703822,0.472563339,0.086837795,0.015915902
0.08706596,0.015670964,0.15066759,0.121656388,0.105484942,0.018611125,0.327703822,0.472563339,0.086837795,0.015915902
0.092976236,0.01600383,0.914925535,0.47253008,0.11280143,0.016150422,0.871976802,0.455782543,1.055514572,0.330705025
0.092976236,0.01600383,0.914925535,0.47253008,0.11280143,0.016150422,0.871976802,0.455782543,1.055514572,0.330705025
0.092976236,0.01600383,0.914925535,0.47253008,0.11280143,0.016150422,0.871976802,0.455782543,1.055514572,0.330705025
0.092976236,0.01600383,0.914925535,0.47253008,0.11280143,0.016150422,0.871976802,0.455782543,1.055514572,0.330705025
0.092976236,0.01600383,0.914925535,0.47253008,0.11280143,0.016150422,0.871976802,0.455782543,1.055514572,0.330705025
0.092976236,0.01600383,0.914925535,0.47253008,0.11280143,0.016150422,0.871976802,0.455782543,1.055514572,0.330705025
0.092976236,0.01600383,0.914925535,0.47253008,0.11280143,0.016150422,0.871976802,0.455782543,1.055514572,0.330705025
0.092976236,0.01600383,0.914925535,0.47253008,0.11280143,0.016150422,0.871976802,0.455782543,1.055514572,0.330705025
0.092976236,0.01600383,0.914925535,0.47253008,0.11280143,0.016150422,0.871976802,0.455782543,1.055514572,0.330705025
