eval/Rewards Mean,eval/Rewards Std
0.013806585,0.002937288
0.013806585,0.002937288
0.013806585,0.002937288
0.013806585,0.002937288
0.013806585,0.002937288
0.013806585,0.002937288
0.013806585,0.002937288
0.013806585,0.002937288
0.013806585,0.002937288
0.013806585,0.002937288
0.013480286,0.00232072
0.013480286,0.00232072
0.013480286,0.00232072
0.013480286,0.00232072
0.013480286,0.00232072
0.013480286,0.00232072
0.013480286,0.00232072
0.013480286,0.00232072
0.013480286,0.00232072
0.013480286,0.00232072
0.014360713,0.002136008
0.014360713,0.002136008
0.014360713,0.002136008
0.014360713,0.002136008
0.014360713,0.002136008
0.014360713,0.002136008
0.014360713,0.002136008
0.014360713,0.002136008
0.014360713,0.002136008
0.014360713,0.002136008
0.013420356,0.002167737
0.013420356,0.002167737
0.013420356,0.002167737
0.013420356,0.002167737
0.013420356,0.002167737
0.013420356,0.002167737
0.013420356,0.002167737
0.013420356,0.002167737
0.013420356,0.002167737
0.013420356,0.002167737
0.014147616,0.002420607
0.014147616,0.002420607
0.014147616,0.002420607
0.014147616,0.002420607
0.014147616,0.002420607
0.014147616,0.002420607
0.014147616,0.002420607
0.014147616,0.002420607
0.014147616,0.002420607
0.014147616,0.002420607
0.051085105,0.053266338
0.051085105,0.053266338
0.051085105,0.053266338
0.051085105,0.053266338
0.051085105,0.053266338
0.051085105,0.053266338
0.051085105,0.053266338
0.051085105,0.053266338
0.051085105,0.053266338
0.051085105,0.053266338
0.065283486,0.170154575
0.065283486,0.170154575
0.065283486,0.170154575
0.065283486,0.170154575
0.065283486,0.170154575
0.065283486,0.170154575
0.065283486,0.170154575
0.065283486,0.170154575
0.065283486,0.170154575
0.065283486,0.170154575
0.38188452,0.565418463
0.38188452,0.565418463
0.38188452,0.565418463
0.38188452,0.565418463
0.38188452,0.565418463
0.38188452,0.565418463
0.38188452,0.565418463
0.38188452,0.565418463
0.38188452,0.565418463
0.38188452,0.565418463
0.130171073,0.174305218
0.130171073,0.174305218
0.130171073,0.174305218
0.130171073,0.174305218
0.130171073,0.174305218
0.130171073,0.174305218
0.130171073,0.174305218
0.130171073,0.174305218
0.130171073,0.174305218
0.130171073,0.174305218
1.163471139,0.800559065
1.163471139,0.800559065
1.163471139,0.800559065
1.163471139,0.800559065
1.163471139,0.800559065
1.163471139,0.800559065
1.163471139,0.800559065
1.163471139,0.800559065
1.163471139,0.800559065
1.163471139,0.800559065
1.055965704,0.822765569
1.055965704,0.822765569
1.055965704,0.822765569
1.055965704,0.822765569
1.055965704,0.822765569
1.055965704,0.822765569
1.055965704,0.822765569
1.055965704,0.822765569
1.055965704,0.822765569
1.055965704,0.822765569
0.87436368,0.805529019
0.87436368,0.805529019
0.87436368,0.805529019
0.87436368,0.805529019
0.87436368,0.805529019
0.87436368,0.805529019
0.87436368,0.805529019
0.87436368,0.805529019
0.87436368,0.805529019
0.87436368,0.805529019
0.338772459,0.471520374
0.338772459,0.471520374
0.338772459,0.471520374
0.338772459,0.471520374
0.338772459,0.471520374
0.338772459,0.471520374
0.338772459,0.471520374
0.338772459,0.471520374
0.338772459,0.471520374
0.338772459,0.471520374
0.030531511,0.053743511
0.030531511,0.053743511
0.030531511,0.053743511
0.030531511,0.053743511
0.030531511,0.053743511
0.030531511,0.053743511
0.030531511,0.053743511
0.030531511,0.053743511
0.030531511,0.053743511
0.030531511,0.053743511
0.049734496,0.105334117
0.049734496,0.105334117
0.049734496,0.105334117
0.049734496,0.105334117
0.049734496,0.105334117
0.049734496,0.105334117
0.049734496,0.105334117
0.049734496,0.105334117
0.049734496,0.105334117
0.049734496,0.105334117
0.135135359,0.130087985
