eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std
0.016797172,0.009232451,0.01819616,0.014836426,0.017739279,0.011728171,0.017273238,0.013532915,0.010615921,0.011466714
0.016797172,0.009232451,0.01819616,0.014836426,0.017739279,0.011728171,0.017273238,0.013532915,0.010615921,0.011466714
0.016797172,0.009232451,0.01819616,0.014836426,0.017739279,0.011728171,0.017273238,0.013532915,0.010615921,0.011466714
0.016797172,0.009232451,0.01819616,0.014836426,0.017739279,0.011728171,0.017273238,0.013532915,0.010615921,0.011466714
0.016797172,0.009232451,0.01819616,0.014836426,0.017739279,0.011728171,0.017273238,0.013532915,0.010615921,0.011466714
0.016797172,0.009232451,0.01819616,0.014836426,0.017739279,0.011728171,0.017273238,0.013532915,0.010615921,0.011466714
0.016797172,0.009232451,0.01819616,0.014836426,0.017739279,0.011728171,0.017273238,0.013532915,0.010615921,0.011466714
0.016797172,0.009232451,0.01819616,0.014836426,0.017739279,0.011728171,0.017273238,0.013532915,0.010615921,0.011466714
0.016797172,0.009232451,0.01819616,0.014836426,0.017739279,0.011728171,0.017273238,0.013532915,0.010615921,0.011466714
0.016797172,0.009232451,0.01819616,0.014836426,0.017739279,0.011728171,0.017273238,0.013532915,0.010615921,0.011466714
0.016291608,0.010549311,0.014338114,0.010653698,0.016947787,0.014318437,0.009886821,0.010421237,0.012396193,0.009118697
0.016291608,0.010549311,0.014338114,0.010653698,0.016947787,0.014318437,0.009886821,0.010421237,0.012396193,0.009118697
0.016291608,0.010549311,0.014338114,0.010653698,0.016947787,0.014318437,0.009886821,0.010421237,0.012396193,0.009118697
0.016291608,0.010549311,0.014338114,0.010653698,0.016947787,0.014318437,0.009886821,0.010421237,0.012396193,0.009118697
0.016291608,0.010549311,0.014338114,0.010653698,0.016947787,0.014318437,0.009886821,0.010421237,0.012396193,0.009118697
0.016291608,0.010549311,0.014338114,0.010653698,0.016947787,0.014318437,0.009886821,0.010421237,0.012396193,0.009118697
0.016291608,0.010549311,0.014338114,0.010653698,0.016947787,0.014318437,0.009886821,0.010421237,0.012396193,0.009118697
0.016291608,0.010549311,0.014338114,0.010653698,0.016947787,0.014318437,0.009886821,0.010421237,0.012396193,0.009118697
0.016291608,0.010549311,0.014338114,0.010653698,0.016947787,0.014318437,0.009886821,0.010421237,0.012396193,0.009118697
0.016291608,0.010549311,0.014338114,0.010653698,0.016947787,0.014318437,0.009886821,0.010421237,0.012396193,0.009118697
0.018826605,0.01289149,0.013075471,0.009851455,0.016790742,0.010100525,0.013713374,0.010741535,0.009832123,0.009216072
0.018826605,0.01289149,0.013075471,0.009851455,0.016790742,0.010100525,0.013713374,0.010741535,0.009832123,0.009216072
0.018826605,0.01289149,0.013075471,0.009851455,0.016790742,0.010100525,0.013713374,0.010741535,0.009832123,0.009216072
0.018826605,0.01289149,0.013075471,0.009851455,0.016790742,0.010100525,0.013713374,0.010741535,0.009832123,0.009216072
0.018826605,0.01289149,0.013075471,0.009851455,0.016790742,0.010100525,0.013713374,0.010741535,0.009832123,0.009216072
0.018826605,0.01289149,0.013075471,0.009851455,0.016790742,0.010100525,0.013713374,0.010741535,0.009832123,0.009216072
0.018826605,0.01289149,0.013075471,0.009851455,0.016790742,0.010100525,0.013713374,0.010741535,0.009832123,0.009216072
0.018826605,0.01289149,0.013075471,0.009851455,0.016790742,0.010100525,0.013713374,0.010741535,0.009832123,0.009216072
0.018826605,0.01289149,0.013075471,0.009851455,0.016790742,0.010100525,0.013713374,0.010741535,0.009832123,0.009216072
0.018826605,0.01289149,0.013075471,0.009851455,0.016790742,0.010100525,0.013713374,0.010741535,0.009832123,0.009216072
0.007707094,0.009323979,0.017355898,0.014771777,0.006600098,0.006485798,0.007940382,0.007123363,0.018104092,0.015251076
0.007707094,0.009323979,0.017355898,0.014771777,0.006600098,0.006485798,0.007940382,0.007123363,0.018104092,0.015251076
0.007707094,0.009323979,0.017355898,0.014771777,0.006600098,0.006485798,0.007940382,0.007123363,0.018104092,0.015251076
0.007707094,0.009323979,0.017355898,0.014771777,0.006600098,0.006485798,0.007940382,0.007123363,0.018104092,0.015251076
0.007707094,0.009323979,0.017355898,0.014771777,0.006600098,0.006485798,0.007940382,0.007123363,0.018104092,0.015251076
0.007707094,0.009323979,0.017355898,0.014771777,0.006600098,0.006485798,0.007940382,0.007123363,0.018104092,0.015251076
0.007707094,0.009323979,0.017355898,0.014771777,0.006600098,0.006485798,0.007940382,0.007123363,0.018104092,0.015251076
0.007707094,0.009323979,0.017355898,0.014771777,0.006600098,0.006485798,0.007940382,0.007123363,0.018104092,0.015251076
0.007707094,0.009323979,0.017355898,0.014771777,0.006600098,0.006485798,0.007940382,0.007123363,0.018104092,0.015251076
0.007707094,0.009323979,0.017355898,0.014771777,0.006600098,0.006485798,0.007940382,0.007123363,0.018104092,0.015251076
0.014735257,0.012723366,0.013641896,0.012006032,0.012891463,0.011690799,0.005970776,0.008508853,0.012784605,0.006701761
0.014735257,0.012723366,0.013641896,0.012006032,0.012891463,0.011690799,0.005970776,0.008508853,0.012784605,0.006701761
0.014735257,0.012723366,0.013641896,0.012006032,0.012891463,0.011690799,0.005970776,0.008508853,0.012784605,0.006701761
0.014735257,0.012723366,0.013641896,0.012006032,0.012891463,0.011690799,0.005970776,0.008508853,0.012784605,0.006701761
0.014735257,0.012723366,0.013641896,0.012006032,0.012891463,0.011690799,0.005970776,0.008508853,0.012784605,0.006701761
0.014735257,0.012723366,0.013641896,0.012006032,0.012891463,0.011690799,0.005970776,0.008508853,0.012784605,0.006701761
0.014735257,0.012723366,0.013641896,0.012006032,0.012891463,0.011690799,0.005970776,0.008508853,0.012784605,0.006701761
0.014735257,0.012723366,0.013641896,0.012006032,0.012891463,0.011690799,0.005970776,0.008508853,0.012784605,0.006701761
0.014735257,0.012723366,0.013641896,0.012006032,0.012891463,0.011690799,0.005970776,0.008508853,0.012784605,0.006701761
0.014735257,0.012723366,0.013641896,0.012006032,0.012891463,0.011690799,0.005970776,0.008508853,0.012784605,0.006701761
0.018295502,0.01276393,0.01376812,0.011328618,0.023309245,0.029407879,0.020271904,0.015728147,0.008231438,0.011197146
0.018295502,0.01276393,0.01376812,0.011328618,0.023309245,0.029407879,0.020271904,0.015728147,0.008231438,0.011197146
0.018295502,0.01276393,0.01376812,0.011328618,0.023309245,0.029407879,0.020271904,0.015728147,0.008231438,0.011197146
0.018295502,0.01276393,0.01376812,0.011328618,0.023309245,0.029407879,0.020271904,0.015728147,0.008231438,0.011197146
0.018295502,0.01276393,0.01376812,0.011328618,0.023309245,0.029407879,0.020271904,0.015728147,0.008231438,0.011197146
0.018295502,0.01276393,0.01376812,0.011328618,0.023309245,0.029407879,0.020271904,0.015728147,0.008231438,0.011197146
0.018295502,0.01276393,0.01376812,0.011328618,0.023309245,0.029407879,0.020271904,0.015728147,0.008231438,0.011197146
0.018295502,0.01276393,0.01376812,0.011328618,0.023309245,0.029407879,0.020271904,0.015728147,0.008231438,0.011197146
0.018295502,0.01276393,0.01376812,0.011328618,0.023309245,0.029407879,0.020271904,0.015728147,0.008231438,0.011197146
0.018295502,0.01276393,0.01376812,0.011328618,0.023309245,0.029407879,0.020271904,0.015728147,0.008231438,0.011197146
0.015968153,0.013616587,0.015832336,0.010289736,0.018107252,0.018899447,0.014234269,0.012416965,0.004247966,0.005496399
0.015968153,0.013616587,0.015832336,0.010289736,0.018107252,0.018899447,0.014234269,0.012416965,0.004247966,0.005496399
0.015968153,0.013616587,0.015832336,0.010289736,0.018107252,0.018899447,0.014234269,0.012416965,0.004247966,0.005496399
0.015968153,0.013616587,0.015832336,0.010289736,0.018107252,0.018899447,0.014234269,0.012416965,0.004247966,0.005496399
0.015968153,0.013616587,0.015832336,0.010289736,0.018107252,0.018899447,0.014234269,0.012416965,0.004247966,0.005496399
0.015968153,0.013616587,0.015832336,0.010289736,0.018107252,0.018899447,0.014234269,0.012416965,0.004247966,0.005496399
0.015968153,0.013616587,0.015832336,0.010289736,0.018107252,0.018899447,0.014234269,0.012416965,0.004247966,0.005496399
0.015968153,0.013616587,0.015832336,0.010289736,0.018107252,0.018899447,0.014234269,0.012416965,0.004247966,0.005496399
0.015968153,0.013616587,0.015832336,0.010289736,0.018107252,0.018899447,0.014234269,0.012416965,0.004247966,0.005496399
0.015968153,0.013616587,0.015832336,0.010289736,0.018107252,0.018899447,0.014234269,0.012416965,0.004247966,0.005496399
0.0181122,0.014257058,0.012449771,0.011464948,0.00507671,0.007342801,0.011631936,0.008209926,0.002271688,0.003270441
0.0181122,0.014257058,0.012449771,0.011464948,0.00507671,0.007342801,0.011631936,0.008209926,0.002271688,0.003270441
0.0181122,0.014257058,0.012449771,0.011464948,0.00507671,0.007342801,0.011631936,0.008209926,0.002271688,0.003270441
0.0181122,0.014257058,0.012449771,0.011464948,0.00507671,0.007342801,0.011631936,0.008209926,0.002271688,0.003270441
0.0181122,0.014257058,0.012449771,0.011464948,0.00507671,0.007342801,0.011631936,0.008209926,0.002271688,0.003270441
0.0181122,0.014257058,0.012449771,0.011464948,0.00507671,0.007342801,0.011631936,0.008209926,0.002271688,0.003270441
0.0181122,0.014257058,0.012449771,0.011464948,0.00507671,0.007342801,0.011631936,0.008209926,0.002271688,0.003270441
0.0181122,0.014257058,0.012449771,0.011464948,0.00507671,0.007342801,0.011631936,0.008209926,0.002271688,0.003270441
0.0181122,0.014257058,0.012449771,0.011464948,0.00507671,0.007342801,0.011631936,0.008209926,0.002271688,0.003270441
0.0181122,0.014257058,0.012449771,0.011464948,0.00507671,0.007342801,0.011631936,0.008209926,0.002271688,0.003270441
0.001062232,0.001147267,0.016165371,0.009908949,0.002890686,0.002944558,0.006193226,0.007146333,0.003768995,0.005071838
0.001062232,0.001147267,0.016165371,0.009908949,0.002890686,0.002944558,0.006193226,0.007146333,0.003768995,0.005071838
0.001062232,0.001147267,0.016165371,0.009908949,0.002890686,0.002944558,0.006193226,0.007146333,0.003768995,0.005071838
0.001062232,0.001147267,0.016165371,0.009908949,0.002890686,0.002944558,0.006193226,0.007146333,0.003768995,0.005071838
0.001062232,0.001147267,0.016165371,0.009908949,0.002890686,0.002944558,0.006193226,0.007146333,0.003768995,0.005071838
0.001062232,0.001147267,0.016165371,0.009908949,0.002890686,0.002944558,0.006193226,0.007146333,0.003768995,0.005071838
0.001062232,0.001147267,0.016165371,0.009908949,0.002890686,0.002944558,0.006193226,0.007146333,0.003768995,0.005071838
0.001062232,0.001147267,0.016165371,0.009908949,0.002890686,0.002944558,0.006193226,0.007146333,0.003768995,0.005071838
0.001062232,0.001147267,0.016165371,0.009908949,0.002890686,0.002944558,0.006193226,0.007146333,0.003768995,0.005071838
0.001062232,0.001147267,0.016165371,0.009908949,0.002890686,0.002944558,0.006193226,0.007146333,0.003768995,0.005071838
0.022415599,0.045436241,0.115428474,0.149415892,0.001467582,0.001864931,0.049506964,0.292573148,0.005126899,0.006711246
0.022415599,0.045436241,0.115428474,0.149415892,0.001467582,0.001864931,0.049506964,0.292573148,0.005126899,0.006711246
0.022415599,0.045436241,0.115428474,0.149415892,0.001467582,0.001864931,0.049506964,0.292573148,0.005126899,0.006711246
0.022415599,0.045436241,0.115428474,0.149415892,0.001467582,0.001864931,0.049506964,0.292573148,0.005126899,0.006711246
0.022415599,0.045436241,0.115428474,0.149415892,0.001467582,0.001864931,0.049506964,0.292573148,0.005126899,0.006711246
0.022415599,0.045436241,0.115428474,0.149415892,0.001467582,0.001864931,0.049506964,0.292573148,0.005126899,0.006711246
