eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std
0.018937464,0.00443778,0.113689732,0.014058948,0.018482938,0.004372587,0.017482938,0.005262587,0.020632285,0.005114369
0.018937464,0.00443778,0.113689732,0.014058948,0.018482938,0.004372587,0.017482938,0.005262587,0.020632285,0.005114369
0.018937464,0.00443778,0.113689732,0.014058948,0.018482938,0.004372587,0.017482938,0.005262587,0.020632285,0.005114369
0.018937464,0.00443778,0.113689732,0.014058948,0.018482938,0.004372587,0.017482938,0.005262587,0.020632285,0.005114369
0.018937464,0.00443778,0.113689732,0.014058948,0.018482938,0.004372587,0.017482938,0.005262587,0.020632285,0.005114369
0.018937464,0.00443778,0.113689732,0.014058948,0.018482938,0.004372587,0.017482938,0.005262587,0.020632285,0.005114369
0.018937464,0.00443778,0.113689732,0.014058948,0.018482938,0.004372587,0.017482938,0.005262587,0.020632285,0.005114369
0.018937464,0.00443778,0.113689732,0.014058948,0.018482938,0.004372587,0.017482938,0.005262587,0.020632285,0.005114369
0.018937464,0.00443778,0.113689732,0.014058948,0.018482938,0.004372587,0.017482938,0.005262587,0.020632285,0.005114369
0.018937464,0.00443778,0.113689732,0.014058948,0.018482938,0.004372587,0.017482938,0.005262587,0.020632285,0.005114369
0.305295723,0.155856398,0.269799927,0.117161933,0.248245286,0.038105663,0.218715435,0.013941783,0.275031761,0.056894607
0.305295723,0.155856398,0.269799927,0.117161933,0.248245286,0.038105663,0.218715435,0.013941783,0.275031761,0.056894607
0.305295723,0.155856398,0.269799927,0.117161933,0.248245286,0.038105663,0.218715435,0.013941783,0.275031761,0.056894607
0.305295723,0.155856398,0.269799927,0.117161933,0.248245286,0.038105663,0.218715435,0.013941783,0.275031761,0.056894607
0.305295723,0.155856398,0.269799927,0.117161933,0.248245286,0.038105663,0.218715435,0.013941783,0.275031761,0.056894607
0.305295723,0.155856398,0.269799927,0.117161933,0.248245286,0.038105663,0.218715435,0.013941783,0.275031761,0.056894607
0.305295723,0.155856398,0.269799927,0.117161933,0.248245286,0.038105663,0.218715435,0.013941783,0.275031761,0.056894607
0.305295723,0.155856398,0.269799927,0.117161933,0.248245286,0.038105663,0.218715435,0.013941783,0.275031761,0.056894607
0.305295723,0.155856398,0.269799927,0.117161933,0.248245286,0.038105663,0.218715435,0.013941783,0.275031761,0.056894607
0.305295723,0.155856398,0.269799927,0.117161933,0.248245286,0.038105663,0.218715435,0.013941783,0.275031761,0.056894607
0.017948746,0.004714347,0.020050763,0.004614228,0.291254515,0.085460346,0.635566273,0.278602355,1.310595708,0.629858504
0.017948746,0.004714347,0.020050763,0.004614228,0.291254515,0.085460346,0.635566273,0.278602355,1.310595708,0.629858504
0.017948746,0.004714347,0.020050763,0.004614228,0.291254515,0.085460346,0.635566273,0.278602355,1.310595708,0.629858504
0.017948746,0.004714347,0.020050763,0.004614228,0.291254515,0.085460346,0.635566273,0.278602355,1.310595708,0.629858504
0.017948746,0.004714347,0.020050763,0.004614228,0.291254515,0.085460346,0.635566273,0.278602355,1.310595708,0.629858504
0.017948746,0.004714347,0.020050763,0.004614228,0.291254515,0.085460346,0.635566273,0.278602355,1.310595708,0.629858504
0.017948746,0.004714347,0.020050763,0.004614228,0.291254515,0.085460346,0.635566273,0.278602355,1.310595708,0.629858504
