eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std
0.013806585,0.002937288,0.020299112,0.081430107,0.01408682,0.002671276,-13.5030266,0.942235087
0.013806585,0.002937288,0.020299112,0.081430107,0.01408682,0.002671276,-13.5030266,0.942235087
0.013806585,0.002937288,0.020299112,0.081430107,0.01408682,0.002671276,-13.5030266,0.942235087
0.013806585,0.002937288,0.020299112,0.081430107,0.01408682,0.002671276,-13.5030266,0.942235087
0.013806585,0.002937288,0.020299112,0.081430107,0.01408682,0.002671276,-13.5030266,0.942235087
0.013806585,0.002937288,0.020299112,0.081430107,0.01408682,0.002671276,-13.5030266,0.942235087
0.013806585,0.002937288,0.020299112,0.081430107,0.01408682,0.002671276,-13.5030266,0.942235087
0.013806585,0.002937288,0.020299112,0.081430107,0.01408682,0.002671276,-13.5030266,0.942235087
0.013806585,0.002937288,0.020299112,0.081430107,0.01408682,0.002671276,-13.5030266,0.942235087
0.013806585,0.002937288,0.020299112,0.081430107,0.01408682,0.002671276,-13.5030266,0.942235087
0.013480286,0.00232072,0.033228791,0.137952559,0.014849672,0.002141469,0.013390952,0.002445425
0.013480286,0.00232072,0.033228791,0.137952559,0.014849672,0.002141469,0.013390952,0.002445425
0.013480286,0.00232072,0.033228791,0.137952559,0.014849672,0.002141469,0.013390952,0.002445425
0.013480286,0.00232072,0.033228791,0.137952559,0.014849672,0.002141469,0.013390952,0.002445425
0.013480286,0.00232072,0.033228791,0.137952559,0.014849672,0.002141469,0.013390952,0.002445425
0.013480286,0.00232072,0.033228791,0.137952559,0.014849672,0.002141469,0.013390952,0.002445425
0.013480286,0.00232072,0.033228791,0.137952559,0.014849672,0.002141469,0.013390952,0.002445425
0.013480286,0.00232072,0.033228791,0.137952559,0.014849672,0.002141469,0.013390952,0.002445425
0.013480286,0.00232072,0.033228791,0.137952559,0.014849672,0.002141469,0.013390952,0.002445425
0.013480286,0.00232072,0.033228791,0.137952559,0.014849672,0.002141469,0.013390952,0.002445425
0.014360713,0.002136008,0.027429076,0.117331489,0.013915378,0.002078362,0.013795726,0.002286772
0.014360713,0.002136008,0.027429076,0.117331489,0.013915378,0.002078362,0.013795726,0.002286772
0.014360713,0.002136008,0.027429076,0.117331489,0.013915378,0.002078362,0.013795726,0.002286772
0.014360713,0.002136008,0.027429076,0.117331489,0.013915378,0.002078362,0.013795726,0.002286772
0.014360713,0.002136008,0.027429076,0.117331489,0.013915378,0.002078362,0.013795726,0.002286772
0.014360713,0.002136008,0.027429076,0.117331489,0.013915378,0.002078362,0.013795726,0.002286772
0.014360713,0.002136008,0.027429076,0.117331489,0.013915378,0.002078362,0.013795726,0.002286772
0.014360713,0.002136008,0.027429076,0.117331489,0.013915378,0.002078362,0.013795726,0.002286772
0.014360713,0.002136008,0.027429076,0.117331489,0.013915378,0.002078362,0.013795726,0.002286772
0.014360713,0.002136008,0.027429076,0.117331489,0.013915378,0.002078362,0.013795726,0.002286772
0.013420356,0.002167737,0.039822628,0.158019623,0.014219029,0.002640575,0.014149549,0.003166976
0.013420356,0.002167737,0.039822628,0.158019623,0.014219029,0.002640575,0.014149549,0.003166976
0.013420356,0.002167737,0.039822628,0.158019623,0.014219029,0.002640575,0.014149549,0.003166976
0.013420356,0.002167737,0.039822628,0.158019623,0.014219029,0.002640575,0.014149549,0.003166976
0.013420356,0.002167737,0.039822628,0.158019623,0.014219029,0.002640575,0.014149549,0.003166976
0.013420356,0.002167737,0.039822628,0.158019623,0.014219029,0.002640575,0.014149549,0.003166976
0.013420356,0.002167737,0.039822628,0.158019623,0.014219029,0.002640575,0.014149549,0.003166976
0.013420356,0.002167737,0.039822628,0.158019623,0.014219029,0.002640575,0.014149549,0.003166976
0.013420356,0.002167737,0.039822628,0.158019623,0.014219029,0.002640575,0.014149549,0.003166976
0.013420356,0.002167737,0.039822628,0.158019623,0.014219029,0.002640575,0.014149549,0.003166976
0.014147616,0.002420607,0.034747657,0.143975772,0.355423768,0.556778132,0.014439433,0.005847408
0.014147616,0.002420607,0.034747657,0.143975772,0.355423768,0.556778132,0.014439433,0.005847408
0.014147616,0.002420607,0.034747657,0.143975772,0.355423768,0.556778132,0.014439433,0.005847408
0.014147616,0.002420607,0.034747657,0.143975772,0.355423768,0.556778132,0.014439433,0.005847408
0.014147616,0.002420607,0.034747657,0.143975772,0.355423768,0.556778132,0.014439433,0.005847408
0.014147616,0.002420607,0.034747657,0.143975772,0.355423768,0.556778132,0.014439433,0.005847408
0.014147616,0.002420607,0.034747657,0.143975772,0.355423768,0.556778132,0.014439433,0.005847408
0.014147616,0.002420607,0.034747657,0.143975772,0.355423768,0.556778132,0.014439433,0.005847408
0.014147616,0.002420607,0.034747657,0.143975772,0.355423768,0.556778132,0.014439433,0.005847408
0.014147616,0.002420607,0.034747657,0.143975772,0.355423768,0.556778132,0.014439433,0.005847408
0.051085105,0.053266338,0.0371961,0.152487031,0.338200583,0.473351516,0.033328699,0.018677141
0.051085105,0.053266338,0.0371961,0.152487031,0.338200583,0.473351516,0.033328699,0.018677141
0.051085105,0.053266338,0.0371961,0.152487031,0.338200583,0.473351516,0.033328699,0.018677141
0.051085105,0.053266338,0.0371961,0.152487031,0.338200583,0.473351516,0.033328699,0.018677141
0.051085105,0.053266338,0.0371961,0.152487031,0.338200583,0.473351516,0.033328699,0.018677141
0.051085105,0.053266338,0.0371961,0.152487031,0.338200583,0.473351516,0.033328699,0.018677141
0.051085105,0.053266338,0.0371961,0.152487031,0.338200583,0.473351516,0.033328699,0.018677141
0.051085105,0.053266338,0.0371961,0.152487031,0.338200583,0.473351516,0.033328699,0.018677141
0.051085105,0.053266338,0.0371961,0.152487031,0.338200583,0.473351516,0.033328699,0.018677141
0.051085105,0.053266338,0.0371961,0.152487031,0.338200583,0.473351516,0.033328699,0.018677141
0.065283486,0.170154575,0.119883678,0.359677323,0.408264449,0.523301543,0.026384295,0.018666959
0.065283486,0.170154575,0.119883678,0.359677323,0.408264449,0.523301543,0.026384295,0.018666959
0.065283486,0.170154575,0.119883678,0.359677323,0.408264449,0.523301543,0.026384295,0.018666959
0.065283486,0.170154575,0.119883678,0.359677323,0.408264449,0.523301543,0.026384295,0.018666959
0.065283486,0.170154575,0.119883678,0.359677323,0.408264449,0.523301543,0.026384295,0.018666959
0.065283486,0.170154575,0.119883678,0.359677323,0.408264449,0.523301543,0.026384295,0.018666959
0.065283486,0.170154575,0.119883678,0.359677323,0.408264449,0.523301543,0.026384295,0.018666959
0.065283486,0.170154575,0.119883678,0.359677323,0.408264449,0.523301543,0.026384295,0.018666959
0.065283486,0.170154575,0.119883678,0.359677323,0.408264449,0.523301543,0.026384295,0.018666959
0.065283486,0.170154575,0.119883678,0.359677323,0.408264449,0.523301543,0.026384295,0.018666959
0.38188452,0.565418463,0.039731134,0.159010912,0.441515311,0.583704001,0.013881128,0.002579628
0.38188452,0.565418463,0.039731134,0.159010912,0.441515311,0.583704001,0.013881128,0.002579628
0.38188452,0.565418463,0.039731134,0.159010912,0.441515311,0.583704001,0.013881128,0.002579628
0.38188452,0.565418463,0.039731134,0.159010912,0.441515311,0.583704001,0.013881128,0.002579628
0.38188452,0.565418463,0.039731134,0.159010912,0.441515311,0.583704001,0.013881128,0.002579628
0.38188452,0.565418463,0.039731134,0.159010912,0.441515311,0.583704001,0.013881128,0.002579628
0.38188452,0.565418463,0.039731134,0.159010912,0.441515311,0.583704001,0.013881128,0.002579628
0.38188452,0.565418463,0.039731134,0.159010912,0.441515311,0.583704001,0.013881128,0.002579628
0.38188452,0.565418463,0.039731134,0.159010912,0.441515311,0.583704001,0.013881128,0.002579628
0.38188452,0.565418463,0.039731134,0.159010912,0.441515311,0.583704001,0.013881128,0.002579628
0.130171073,0.174305218,0.22476761,0.527873109,0.509115274,0.603159489,0.013299341,0.002846862
0.130171073,0.174305218,0.22476761,0.527873109,0.509115274,0.603159489,0.013299341,0.002846862
0.130171073,0.174305218,0.22476761,0.527873109,0.509115274,0.603159489,0.013299341,0.002846862
0.130171073,0.174305218,0.22476761,0.527873109,0.509115274,0.603159489,0.013299341,0.002846862
0.130171073,0.174305218,0.22476761,0.527873109,0.509115274,0.603159489,0.013299341,0.002846862
0.130171073,0.174305218,0.22476761,0.527873109,0.509115274,0.603159489,0.013299341,0.002846862
0.130171073,0.174305218,0.22476761,0.527873109,0.509115274,0.603159489,0.013299341,0.002846862
0.130171073,0.174305218,0.22476761,0.527873109,0.509115274,0.603159489,0.013299341,0.002846862
0.130171073,0.174305218,0.22476761,0.527873109,0.509115274,0.603159489,0.013299341,0.002846862
