eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std
0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.099324344,0.059776953,0.109970532,0.06356779,0.015895588,0.006377951,0.09940396,0.059887898
0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.016975766,0.006943257,0.015149246,0.006572081,0.017667303,0.007102221,0.016073337,0.005810598
0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.013318262,0.006916679,0.014246683,0.00656107,0.013383838,0.006234271,0.01373793,0.006181466
0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.014946528,0.006631194,0.012779334,0.006600718,0.014954059,0.005542658,0.014282804,0.005713607
0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.014306294,0.005797284,0.017288313,0.007096902,0.014796092,0.007361243,0.0155615,0.004855865
0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
